date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-07-12,2156.63,2201.63,2200.35,2156.59,402537.34,44.63,2.07,2167.762,2154.365,2127.58,279475.85,268850.73,219761.12
2016-07-11,2152.74,2175.24,2155.72,2150.37,286092.44,6.96,0.32,2161.464,2144.535,2122.314,263583.84,246185.2,207311.72
2016-07-08,2156.38,2158.77,2148.76,2147.14,193587.89,-18.12,-0.84,2162.978,2138.552,2118.743,268089.41,234064.43,203521.48
2016-07-07,2161.36,2173.7,2166.88,2153.77,269777.09,-0.22,-0.01,2158.644,2131.306,2117.953,261637.44,237313.47,202044.98
2016-07-06,2161.58,2169.46,2167.1,2149.04,245384.48,-1.76,-0.08,2149.794,2125.171,2116.563,248391.06,225618.1,195590.37
2016-07-05,2162.09,2174.42,2168.86,2159.9,323077.28,5.57,0.26,2140.968,2120.038,2115.024,258225.61,214628.39,190150.57
2016-07-04,2121.9,2169.62,2163.29,2120.49,308620.31,36.2,1.7,2127.606,2113.608,2114.213,228786.57,200020.56,184259.78
2016-07-01,2124.4,2133.35,2127.09,2122.86,161328.05,4.46,0.21,2114.126,2107.701,2112.931,200039.44,181249.69,177007.1
2016-06-30,2123.87,2130.98,2122.63,2120.41,203545.17,-0.34,-0.02,2103.968,2105.212,2113.524,212989.49,182962.97,181677.35
2016-06-29,2105.76,2124.29,2122.97,2104.23,294557.25,20.92,0.99,2100.548,2102.43,2115.176,202845.15,180577.31,191825.97
2016-06-28,2089.35,2104.48,2102.05,2084.18,175882.06,6.16,0.29,2099.108,2100.796,2113.635,171031.16,170671.51,185955.3
2016-06-27,2070.94,2096.2,2095.89,2070.82,164884.67,19.59,0.94,2099.61,2100.093,2112.279,171254.56,168438.23,182449.94
2016-06-24,2100.0,2112.61,2076.3,2052.98,226078.3,-29.23,-1.39,2101.276,2098.934,2111.291,162459.95,172978.53,180768.96
2016-06-23,2114.77,2114.77,2105.53,2098.36,152823.45,-10.24,-0.48,2106.456,2104.6,2111.071,152936.45,166776.49,175107.55
2016-06-22,2101.05,2116.3,2115.77,2098.63,135487.33,11.21,0.53,2104.312,2107.954,2109.127,158309.48,165562.64,174018.59
2016-06-21,2108.87,2130.9,2104.56,2100.06,176999.05,0.34,0.02,2102.484,2110.009,2107.459,170311.86,165672.74,174483.83
2016-06-20,2109.57,2110.89,2104.22,2092.83,120911.6,2.02,0.1,2100.576,2114.817,2106.387,165621.9,168498.99,172578.97
2016-06-17,2093.69,2115.42,2102.2,2093.69,178460.81,7.39,0.35,2096.592,2118.16,2104.866,183497.12,172764.5,173558.39
2016-06-16,2095.36,2105.25,2094.81,2091.49,179688.61,-11.82,-0.56,2102.744,2121.836,2103.694,180616.54,180391.74,176153.91
2016-06-15,2073.47,2115.38,2106.63,2073.1,195499.25,11.61,0.55,2111.596,2127.921,2102.727,172815.8,203074.62,174594.96
2016-06-14,2080.9,2098.06,2095.02,2079.4,153549.23,10.72,0.51,2117.534,2126.474,2101.527,161033.63,201239.08,171609.62
